Book ID,Reservation Date,Checkout Date,Return Date,Member ID
17,--,25/03/2020,26/08/2020,3289
17,12/04/2020,--,--,4445
18,25/12/2019,--,--,5500
19,--,09/03/2021,07/05/2021,5466
19,03/04/2021,--,--,2325
19,--,08/10/2021,09/11/2021,5351
19,--,05/12/2021,14/01/2022,9419
19,01/12/2021,--,--,6655
20,--,02/06/2021,07/07/2021,3290
20,--,07/08/2021,26/10/2021,4185
20,18/06/2021,--,--,4680
20,--,19/11/2021,23/12/2021,4457
21,--,08/04/2022,10/07/2022,3595
21,--,07/08/2022,14/09/2022,6080
21,28/05/2022,--,--,4675
21,--,12/07/2021,23/08/2021,4363
21,--,13/10/2020,24/12/2021,9666
21,19/07/2021,--,--,8476
22,28/11/2020,--,--,4757
22,--,08/11/2020,02/12/2020,3321
22,16/11/2020,--,--,7483
22,--,23/10/2021,21/12/2021,6354
22,13/12/2021,--,--,8843
22,--,26/05/2022,06/07/2022,2501
23,--,23/10/2021,21/12/2021,9260
23,25/11/2021,--,--,1209
23,--,23/12/2021,01/02/2022,1520
23,30/01/2022,--,--,8442
23,--,13/09/2019,09/09/2020,1701
24,--,18/05/2019,24/07/2019,6924
24,23/07/2019,--,--,2096
24,--,28/11/2020,08/01/2021,8684
24,--,22/01/2021,08/07/2021,3724
24,--,23/11/2021,13/12/2021,8952
24,--,21/12/2021,29/12/2021,2303
24,--,15/01/2022,16/03/2022,1838
24,--,15/03/2020,05/07/2020,8708
24,--,22/06/2022,11/09/2022,1103
25,17/05/2020,--,--,2075
25,--,08/05/2020,10/06/2020,5234
25,--,21/07/2020,08/08/2020,5463
25,14/11/2020,--,--,2303
25,--,21/12/2020,08/01/2021,8899
25,02/01/2021,--,--,3099
25,--,08/02/2021,09/04/2021,5410
26,07/04/2021,--,--,9055
26,--,10/04/2021,08/06/2021,7888
27,--,18/06/2020,23/09/2021,4500
27,--,25/10/2021,02/11/2021,7535
27,--,28/11/2021,10/01/2022,6348
27,--,06/08/2022,12/09/2022,5847
28,--,24/07/2022,17/08/2022,7086
28,09/08/2022,--,--,1060
28,--,19/08/2022,30/08/2022,4761
28,26/08/2022,--,--,8370
28,--,02/09/2022,26/09/2022,2232
29,--,18/06/2020,23/09/2021,8430
29,19/07/2021,--,--,2826
29,--,24/07/2021,29/07/2021,4690
30,--,04/07/2020,05/07/2020,5894
30,03/07/2020,--,--,6873
30,--,24/10/2020,22/11/2020,6410
30,03/11/2020,--,--,2348
30,--,12/01/2021,30/01/2021,3975
31,14/12/2021,--,--,7865
31,--,15/12/2021,17/12/2021,6389
31,--,18/12/2021,27/01/2021,2979
32,11/02/2022,--,--,2024
33,17/08/2019,--,--,6455
33,--,01/04/2019,01/08/2019,6630
33,22/07/2019,--,--,9642
34,--,20/01/2020,10/02/2020,9843
34,09/02/2020,--,--,9463
34,--,12/03/2020,22/03/2020,2905
35,--,22/04/2020,02/08/2020,2286
36,--,13/08/2022,30/08/2022,5999
36,29/08/2022,--,--,8557
36,--,02/09/2022,10/09/2022,7948
37,--,19/12/2021,06/01/2022,8859
37,--,19/01/2022,26/01/2022,9067
37,23/01/2022,--,--,5292
38,--,18/12/2021,20/12/2021,4500
38,13/12/2021,--,--,8585
39,23/07/2022,--,--,1930
39,--,21/07/2022,25/08/2022,3071
39,--,25/09/2022,28/09/2022,5022
39,--,14/10/2022,22/10/2022,3055
40,06/09/2021,--,--,4080
41,--,10/10/2019,12/10/2019,7296
41,--,11/11/2019,21/11/2019,9395
41,16/11/2019,--,--,3054
41,--,05/07/2021,12/07/2021,2486
41,06/07/2021,--,--,5915
41,--,15/08/2021,20/09/2021,1365
41,--,08/11/2021,01/12/2021,4118
42,--,16/11/2019,03/12/2019,5027
42,17/11/2019,--,--,1121
42,--,03/12/2020,30/12/2020,4173
42,04/12/2020,--,--,3209
43,--,02/06/2020,10/06/2020,5823
43,27/07/2020,--,--,9746
43,--,19/01/2021,23/01/2021,2439
43,20/01/2021,--,--,4079
43,--,23/02/2021,25/02/2021,5868
43,22/02/2021,--,--,4136
43,--,15/04/2021,07/06/2021,2460
43,--,02/07/2021,23/07/2021,1481
43,--,06/08/2021,15/08/2021,6963
43,--,18/08/2021,26/08/2021,7969
44,--,10/05/2020,22/07/2020,2491
44,21/07/2020,--,--,8577
44,--,26/09/2020,08/10/2020,7266
44,03/10/2020,--,--,6147
44,--,12/10/2020,22/12/2020,1475
44,--,29/12/2020,01/09/2022,4513
45,--,02/07/2021,23/07/2021,7168
45,03/07/2021,--,--,8229
45,--,30/08/2021,08/09/2021,8942
46,--,20/05/2019,30/05/2019,6030
46,27/05/2019,--,--,9113
46,--,01/02/2020,10/04/2020,7073
46,08/04/2020,--,--,1225
47,--,27/10/2021,22/11/2021,9669
48,--,09/12/2020,23/01/2021,9237
48,--,24/01/2021,16/08/2021,4187
48,--,25/09/2021,22/12/2021,5426
48,--,21/04/2022,06/08/2022,4628
48,12/05/2022,--,--,1158
49,--,21/03/2019,28/04/2019,8968
49,11/04/2019,--,--,5809
49,--,05/05/2020,23/10/2020,1316
49,13/10/2019,--,--,4907
50,--,10/08/2019,20/08/2019,8750
50,18/08/2019,--,--,1753
